asn,asn_name,risk_score_domains
8304,"ECRITEL-FRANCE ISP and web hosting., FR",1
12874,"FASTWEB, IT",1
399275,"SOLID, US",1
25148,"BASEFARM-ASN Oslo - Norway, NO",1
149359,"IDNIC-PDM-AS-ID PT Persada Data Multimedia, ID",1
393653,"WIZ1, CA",1
216071,"VDSINA, AE",1
43037,"SEZNAM-, CZ",1
54380,"THOUGHTWAVE, US",1
20773,"GODADDY, DE",1
22768,"SYNERGYBROADBAND-MI-02, US",1
137035,"PWCS-AS-AP Parallel Web Cloud Services, IN",1
12660,"SHARIF-EDU-NET, IR",1
13354,"ZC38-AS1, US",1
209853,"VERIDYEN Veridyen Bilisim Teknolojileri Sanayi ve Ticaret Limited Sirketi, TR",1
31204,"SUNCOMMUNICATIONS-AS JV Sun Communications Autonomous System, MD",1
204213,"NETMIHAN, IR",1
16138,"INTERIA, PL",1
57497,"FARASOSAMANEHPASARGAD, IR",1
15404,"COLT Technology Services Group, GB",1
41733,"ZTELECOM-AS, RU",1
51852,"PLI-AS, PA",1
48348,"CLOUDBUILDERS, ES",1
61969,"TEAMINTERNET-AS, DE",1
34019,"HIVANE, FR",1
61173,"GWSN-AS, IR",1
34267,"DEBRYANSK-AS-1 PJSC Rostelecom. Bryansk branch, RU",1
200019,"ALEXHOST, MD",1
13285,"OPALTELECOM-AS TalkTalk Communications Limited, GB",1
36454,"WHG-DAL, GB",1
35473,"MTSNET-URAL-AS, RU",1
62048,"ACAI, IR",1
53316,"ASN-CHEETA-MAIL, US",1
16556,"TOTALCHOICE-HOSTING, US",1
19437,"SS-ASH, US",1
4792,"NATECOMMS-AS-KR NATE Communications Corporation, KR",1
15800,"COORDINATOR-AS East-Ukrainian NIC, UA",1
20676,"PLUSNET *****************, DE",1
45352,"IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd, MY",1
63068,"CROCWEB, CA",1
2711,"SPIRITTEL-AS, US",1
12989,"BLACKHOST AS12989.NET, CA",1
1955,"HBONE-AS KIFU, HU",1
22351,"INTELSAT-1, US",1
24971,"MASTER-AS Czech Republic www.master.cz, CZ",1
15830,"EQUINIX, NL",1
17561,"LCS-AS-AP LARUS Limited, HK",1
136792,"MIMECAST-AS-AP Mimecast Australia Pty Ltd, AU",1
29686,"PROBENETWORKS-AS, DE",1
9115,"INFB-AS9115, CA",1
37492,"ORANGE-, TN",1
2280,"OCBHONEY OCB public cloud network, FR",1
28573,"Claro NXT Telecomunicacoes Ltda, BR",1
138358,"PURPLEITLTD-AS-AP Purple IT Ltd, BD",1
24806,"INTERNET-CZ Ktis 2, 384 03 Ktis, CZ",1
28299,"CYBERWEB NETWORKS LTDA, BR",1
32748,"STEADFAST, US",1
57269,"DIGISPAINTELECOM, ES",1
40034,"CONFLUENCE-NETWORK-INC, VG",1
13246,"INETWIRE-AS Key-Systems GmbH PartnerGate, DE",1
49824,"ACTPA-AS Astra LLC, UA",1
58051,"ZUME, GB",1
53767,"ICASTCENTER, US",1
23824,"FUTURE Future Spirits Co.,Ltd., JP",1
41079 198414,,1
20115,"CHARTER-20115, US",1
13414,"TWITTER, US",1
47692,"NESSUS, AT",1
57494,"ADMAN-AS, RU",1
209341,"WHG-FRA, GB",1
3223,"VOXILITY, GB",1
11427,"TWC-11427-TEXAS, US",1
8823,"AUTONOMOUSSYSTEMROCKENSTEINAG, DE",1
19969,"JOESDATACENTER, US",1
41541,"SWHO-AS swhosting.com, ES",1
50728,"GALACTICA-AS, PL",1
12831,"TASK-AS, PL",1
269800,"NTERCONEXION HN S.A, HN",1
8001,"COLOGIX, US",1
37611,"AFRIHOST-SP, ZA",1
7055,"QIS, US",1
13886,"CLOUD-SOUTH, US",1
27715,"Locaweb Servicos de Internet SA, BR",1
58010,"UVENSYS, DE",1
8926,"MOLDTELECOM-AS Moldtelecom Autonomous System, MD",1
15802,"DU-AS1, AE",1
56958,"RAIOLANETWORKS Raiola Networks S.L., ES",1
213038,"DREAMVPS, IL",1
44136,"ASODERLAND, SE",1
46318,"TECHOPS-ASN-4, US",1
197226,"SPRINT-SDC, PL",1
4694,"IDCF IDC Frontier Inc., JP",1
35661,"VIRTUASYS-EU Lift weight. Push bytes. Never drop. Repeat., FR",1
53755,"IOFLOOD, US",1
44133,"IPAX-AS, AT",1
399522,"TP, US",1
211494,"NARAYANA, EE",1
202940,"ITCNG ITC Internet Service Provider, IL",1
61207,"ILAIT, SE",1
43865,"INTEK-M-AS, RU",1
149020,"WEBHORIZON-AS-AP WebHorizon Internet Services, SG",1
6700,"BEOTEL-AS www.beotel.net, RS",1
197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",1
58955,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd., TH",1
26548,"PUREVOLTAGE-INC, US",1
202042,"SKROUTZ-, GR",1
14956,"ROUTERHOSTING, US",1
58305,"SYN-US SYN, GB",1
27446,"AS-ERCBB, US",1
19122,"ESTRUXTURE-ON-19122, CA",1
21069,"ASN-METANET Routingpeering issues: noc@metanet.ch, CH",1
135932,"VNDATA-AS-VN Viet Storage Technology Joint Stock Company, VN",1
5432,"PROXIMUS-ISP-AS, BE",1
59943,"LEVEL27-AS, BE",1
29909,"METROOPTIC, CA",1
41000,"FREETHOUGHT-AS, GB",1
35415,"WEBZILLA, NL",1
38224,"REDIFF-AS Rediff.com India Limited, IN",1
40618,"SESAME, US",1
44592,"SKYLINK, NL",1
29014,"SCALEUP, DE",1
6730,"SUNRISE, CH",1
20655,"E-STYLEISP-AS, RU",1
19148,"LEASEWEB-USA-PHX, US",1
265262,"Skymail Servicos de Computacao e Provimento de Inf, BR",1
3303,"SWISSCOM Swisscom Switzerland Ltd, CH",1
34984,"TELLCOM-AS, TR",1
16942,"CITIZENS, US",1
51713,"WHG-LON, GB",1
395173,"AS-TCCL-18, CA",1
16371,"ACENS_AS Spain Hosting, housing and VPN services, ES",1
206216,"ADVIN-AS, US",1
46562,"PERFORMIVE, US",1
30277,"DFW-DATACENTER, US",1
3243,"MEO-RESIDENCIAL, PT",1
25393,"MIROHOST, US",1
20847,"PREVIDER-AS, NL",1
32400,"HWSERVICES-32400, US",1
131414,"LVSOFT-AS-VN Long Van Soft Solution JSC, VN",1
36473,"CONTE-25-BLA-RST, US",1
39287,"ABSTRACT, FI",1
60458,"ASN-XTUDIONET, ES",1
19133,"BIRD-HOSTING, US",1
32740,"SLIQUA, US",1
207083,"HOSTSLIM-GLOBAL-NETWORK, NL",1
207252,"REALTOX-MEDIA, DE",1
28685,"ASN-ROUTIT, NL",1
39912,"I3B-AS, AT",1
29527,"ASTUTIUM-AS Astutium Limited, GB",1
22489,"DATABANK-CASTLEACCESS, US",1
199950,"HJELM-ENTERPRISES-AB, SE",1
15626,"GF-UA, US",1
41966,"SKYNET, PL",1
208475,"NRG, RO",1
201206,"LINEVAST, DE",1
40934,"FORTINET, US",1
201682,"LIQUID-WEB-BV, US",1
3378,"MCI-ASN, US",1
60494,"UNELINK, ES",1
37907,"DIGIROCK DigiRock, Inc., JP",1
11971,"PFIZERNET-GROTON, US",1
10032,"HGC-AS-AP BDX DC Services HK Limited, HK",1
24955,"UBN-AS, RU",1
42655,"BESTHOSTING-AS, UA",1
39572,"ADVANCEDHOSTERS-AS, NL",1
38320,"MMS-AS-ID PT Maxindo Mitra Solusi, ID",1
34300,"SPACENET-AS Internet Service Provider, RU",1
10320,"ISPN, US",1
41745,"FORTIS-AS Hosting services, RU",1
15541,"CETI-AS CETI ISP, Poland, PL",1
207459,"AS-TEKNOSOS-INT, TR",1
27229,"WEBHOST-ASN1, US",1
45668,"AIMS-MY-NET AIMS Data Centre Sdn Bhd, MY",1
34619,"CIZGI, TR",1
205090,"FIRST-SERVER-EUROPE, GB",1
395092,"SHOCK-1, US",1
199246,"TOPHOST, GR",1
5048,"FIBER, US",1
38731,"VTDC-AS-VN Vietel - CHT Compamy Ltd, VN",1
210329,"CLOUDWEBMANAGE-UK-1, US",1
50245,"SERVEREL-AS, US",1
46652,"SERVERSTACK-ASN, US",1
24572,"YAHOO-JP-AS-AP Yahoo Japan, JP",1
7203,"LEASEWEB-USA-SFO, US",1
58247,"NETVEILLANCE, RO",1
4455 31216,,1
2119,"TELENOR-NEXTEL Telenor Norge AS, NO",1
199404,"WHG-IN, GB",1
137488,"ICEWARP-AS-AP IceWarp Technologies Pvt. Ltd., IN",1
29405,"VNET-AS, SK",1
