asn,asn_name,domain_count
212477,"ROYALE-AS, NL",18
44112,"SWEB-AS, RU",18
50340,"SELECTEL-MSK, RU",17
216071,"VDSINA, AE",17
8622,"ISIONUK Team Blue Internet Services UK Ltd, GB",17
204800,"WHG-SGP, GB",17
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB",16
18450,"WEBNX - WebNX, Inc., US",16
16417,"IRONPORT-SYSTEMS-INC - Cisco Systems Ironport Division, US",16
53667,"PONYNET - FranTech Solutions, US",16
3462,"HINET Data Communication Business Group, TW",16
44418,"BITDEFENDER-AS, RO",16
3842,"RAMNODE - InMotion Hosting, Inc., US",15
35278,"SPRINTHOST, RU",15
42427,"MIMECAST-UK, GB",15
9371,"SAKURA-C SAKURA Internet Inc., JP",15
23352,"SERVERCENTRAL - DEFT.COM, US",15
26666,"INTERSERVER-LAX - Interserver, Inc, US",15
202448,"MVPS www.mvps.net, CY",15
32097,"WII - WholeSale Internet, Inc., US",15
212772,"ADGUARD, CY",15
33724,"BIZNESSHOSTING-DBA-VOLICO - VOLICO, US",14
37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",14
53780,"AS-APPRIVER - APPRIVER LLC, US",14
24961,"MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG, DE",14
12824,"HOMEPL-AS, PL",14
15598,"IPX-AS15598, DE",14
52129,"PROOFPOINT-ASN-EU, US",14
58487,"CRI-AS-AP CV. Rumahweb Indonesia, ID",13
7393,"CYBERCON - CYBERCON, INC., US",13
39287,"ABSTRACT, FI",13
25577,"C4L-AS, GB",13
24935,"ATE-AS, FR",13
47544,"IQPL-AS, PL",13
57367,"ECO-ATMAN-PL ECO-ATMAN-, PL",12
33182,"DIMENOC - HostDime.com, Inc., US",12
40092,"ONIAAS - HostPapa, US",12
43350,"NFORCE, NL",12
50474,"O2SWITCH, FR",12
12488,"KRYSTAL, GB",12
396949,"CLOUDWEBMANAGE-TX - Kamatera, Inc., US",12
7018,"ATT-INTERNET4 - AT&T Enterprises, LLC, US",12
136246,"TOMATTOSTL-AS-AP Tomattos Technologies Ltd., BD",12
14670,"WHG-USE1, GB",12
965,"WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US",12
48324,"DE-WEBGO www.webgo.de, DE",12
214036,"ULTAHOST-AS, US",11
199118,"HPLS-AS, DE",11
46824,"NAMECRANE - NameCrane LLC, US",11
16686,"EDNS - easyDNS Technologies, Inc., CA",11
7684,"SAKURA-A SAKURA Internet Inc., JP",11
26101,"YAHOO-BF1 - Yahoo Holdings Inc., US",11
16633,"I-3 - N-able Technologies, Inc., US",11
31080,"O2-AS, PL",11
3209,"VODANET International IP-Backbone of Vodafone, DE",10
12574,"ROUTING Franzstr. 51, 52064 Aachen, DE",10
206281,"AS-ZXCS, NL",10
13768,"COGECO-PEER1 - Aptum Technologies, CA",10
58791,"GMOOSK-NET GMO Internet Group, Inc., JP",10
39835,"GOETEL, DE",10
209341,"WHG-FRA, GB",10
198068,"PAGM-AS, EE",10
205787,"PUBLICLOUD, BG",10
27257,"WEBAIR-INTERNET - Webair Internet Development Company Inc., US",10
2497,"IIJ Internet Initiative Japan Inc., JP",10
32934,"FACEBOOK - Facebook, Inc., US",9
34931,"AWARESOFT, GB",9
203417,"LH, PL",9
212238,"CDNEXT, GB",9
48896,"DHOSTING-AS Warsaw, Poland, PL",9
3320,"DTAG Internet service provider operations, DE",9
54641,"IMH-IAD - InMotion Hosting, Inc., US",9
199968,"IWSNET, AM",9
174,"COGENT-174 - Cogent Communications, LLC, US",9
394695,"PUBLIC-DOMAIN-REGISTRY - PDR, US",9
15967,"NETARTGROUP, PL",9
207957,"SERVHOST-AS, GB",9
45012,"CLOUDPIT, DE",9
48635,"CLDIN-NL Your Hosting B.V. part of Your.Online, NL",9
52148,"ENIXLTD, GB",9
34762,"COMBELL-AS, BE",9
49467,"EUROTA-ASN EUROTA INTERNET SERVICES LTD, TR",9
21100,"ITLDC-EU, US",9
21859,"ZEN-ECN - Zenlayer Inc, US",8
26347,"DREAMHOST-AS - New Dream Network, LLC, US",8
15557,"LDCOMNET --- I3Dnet ---, FR",8
63410,"PRIVATESYSTEMS - PrivateSystems Networks, US",8
36646,"YAHOO-NE1 - Yahoo Holdings Inc., US",8
40476,"SCALAHOSTING - Scala Hosting LLC, US",8
8342,"RTCOMM-AS, RU",8
20860,"IOMART-AS, GB",8
8739,"ICDSOFT, BG",8
28685,"ASN-ROUTIT, NL",8
22414,"CRAIGS-NET-1 - Craigslist, Inc., US",8
31863,"DACEN-2 - Centrilogic, Inc., US",8
33387,"NOCIX - Nocix, LLC, US",8
14555,"LIQUIDNETLTD1 - LiquidNet US LLC, US",8
37907,"DIGIROCK DigiRock, Inc., JP",7
34619,"CIZGI, TR",7
139203,"CHINANET-GUIZHOU-GUIAN-IDC Guizhou GuiAn IDC, CN",7
41608,"NEXTGENWEBS-NL, ES",7
51191,"XIRRA, DE",7
29097,"HOSTPOINT-AS, CH",7
51557,"TR-ISIMTESCIL-20201202, TR",7
37153,"xneelo, ZA",7
211381,"PODAON, LV",7
60118,"CYBERSMARTSOLUTIONS-AS, RO",7
16406,"AS-INTERMEDIA - Intermedia.net, Inc., US",7
21499,"GODADDY-SXB, DE",7
20738,"GD-EMEA-DC-LD5, GB",7
49505,"SELECTEL, RU",7
13767,"DATABANK-DFW - DataBank Holdings, Ltd., US",7
23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN",7
9002,"RETN-AS, GB",7
22653,"GLOBALCOMPASS - Cyber Wurx LLC, US",7
45638,"SYNERGYWHOLESALE-AP SYNERGY WHOLESALE PTY LTD, AU",7
200303,"LUMASERV LUMASERV GmbH, DE",7
203248,"BURTINET, TR",7
397423,"TIER-NET - Tier.Net Technologies LLC, US",7
60819,"SAFENAMES-AS, GB",7
34010,"YAHOO-IRD, GB",7
48287,"RU-CENTER, RU",6
398810,"MXROUTE - MXroute LLC, US",6
60117,"HS, AE",6
18779,"EGIHOSTING - EGIHosting, US",6
62082,"HOSTLAND, RU",6
29522,"CF-KRK, PL",6
58061,"SCALAXY-AS, LV",6
3561,"CENTURYLINK-LEGACY-SAVVIS - CenturyLink Communications, LLC, US",6
25820,"IT7NET - IT7 Networks Inc, CA",6
42730,"EVANZOAS, DE",6
212531,"INTERNETO-VIZIJA, LT",6
50840,"AS-HITME, PL",6
43614,"ECONOMIA-, CZ",6
51013,"WEBSUPPORT-SRO-SK-AS, SK",6
27823,"Dattatec.com, AR",6
15456,"INTERNETX-AS, DE",6
52030,"SERVERPLAN-AS, IT",6
31242,"TKPSA-AS, PL",6
6364,"ATLANTIC-NET-1 - Atlantic.net, Inc., US",6
7625,"DAUM-AS Kakao Corp, KR",6
45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",6
57344,"TELEHOUSE-AS, BG",6
39570,"LOOPIA, SE",6
15685,"CASABLANCA-AS Internet & Collocation Provider, CZ",5
34011,"GD-EMEA-DC-CGN1, DE",5
42807,"AEROTEK-AS, TR",5
211993,"SOVERIN, NL",5
27589,"MOJOHOST - MOJOHOST, US",5
5650,"FRONTIER-FRTR - Frontier Communications of America, Inc., US",5
53589,"PLANETHOSTER-8 - PlanetHoster, CA",5
215117,"HOSTERDADDY, IN",5
394456,"EPIK-LLC - Epik LLC, US",5
7859,"PAIR-NETWORKS - pair Networks, US",5
400754,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",5
399646,"DARTNODE - Snaju Development, US",5
135918,"DVS-AS-VN VIET DIGITAL TECHNOLOGY LIABILITY COMPANY, VN",5
55688,"BEON-AS-ID PT. Beon Intermedia, ID",5
8648,"ONE-NETWORK, DE",5
25393,"MIROHOST, US",5
30600,"AS-CMN - Metronet, US",5
30238,"AS-IRONP-VEGA - Cisco Systems Ironport Division, US",5
8677,"WORLDLINE, FR",5
396356,"LATITUDE-SH - Latitude.sh, US",5
4713,"OCN NTT DOCOMO BUSINESS,Inc., JP",5
12874,"FASTWEB, IT",5
199404,"WHG-IN, GB",5
26042,"FIBERSTATE - FiberState, LLC, US",5
29066,"VELIANET-AS velia.net Internetdienste GmbH, DE",5
55286,"SERVER-MANIA - B2 Net Solutions Inc., CA",5
209,"CENTURYLINK-US-LEGACY-QWEST - CenturyLink Communications, LLC, US",5
210403,"LWS, FR",5
200223,"ETHERON, NL",5
209641,"I-SERVERS-EAST, GB",5
131775,"IDNIC-JALANET-AS-ID PT. Jupiter Jala Arta, ID",5
149020,"WEBHORIZON-AS-AP WebHorizon Internet Services, SG",5
2516,"KDDI KDDI CORPORATION, JP",5
701,"UUNET - Verizon Business, US",5
29134,"IGNUM-AS Czech Republic, CZ",5
201200,"SUPERHOSTING_AS, BG",5
133800,"IDNIC-BIZNETGIO-AS-ID PT Biznet Gio Nusantara, ID",5
138115,"IDNIC-DENEVA-AS-ID PT Deneva, ID",5
38719,"DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU",5
56694,"SMARTAPE, RU",5
13246,"INETWIRE-AS Key-Systems GmbH PartnerGate, DE",5
17378,"AS17378 - TierPoint, LLC, US",5
12996,"DOMENESHOP Oslo, Norway, NO",5
63473,"HOSTHATCH - HostHatch, LLC, US",5
46844,"SHARKTECH - Sharktech, US",5
43541,"VSHOSTING, CZ",5
27715,"Locaweb Servicos de Internet SA, BR",4
39572,"ADVANCEDHOSTERS-AS, NL",4
57494,"ADMAN-AS, RU",4
20278,"NEXEON - Nexeon Technologies, Inc., US",4
139006,"ZCPL-AS-AP Zoho Corporation PTY LTD, AU",4
9370,"SAKURA-B SAKURA Internet Inc., JP",4
36218,"WHG-CAN, GB",4
2514,"INFOSPHERE NTT PC Communications, Inc., JP",4
214882,"ARENHOST Steven Gusti Hutama, ID",4
206170,"INLEED, SE",4
138915,"KAOPU-HK Kaopu Cloud HK Limited, HK",4
30475,"WEHOSTWEBSITES-COM - Handy Networks, LLC, US",4
14415,"HOSTCOLLECTIVE - Host Collective, Inc., US",4
14627,"NOIP-VITAL - Vitalwerks Internet Solutions, LLC, US",4
32181,"ASN-GIGENET - GigeNET, US",4
203476,"GANDI-AS-2 Domain name registrar - www.gandi.net, FR",4
3356,"LEVEL3 - Level 3 Parent, LLC, US",4
399250,"NAMEHERO-KCDC - Name Hero, LLC, US",4
141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",4
15738,"UAEXPRESS Ukraine, UA",4
32613,"IWEB-AS - Leaseweb Canada Inc., CA",4
48854,"TEAM-BLUE-DENMARK, DK",4
210250,"WPX, BG",4
44476,"ZETTA-AS, BG",4
36666,"GTCOMM - GloboTech Communications, CA",4
209767,"SAMTECO, RO",4
151858,"INTERDIGI-VN INTERDIGI JOINT STOCK COMPANY, VN",4
25369,"BANDWIDTH-AS, GB",4
9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",4
200019,"ALEXHOST, MD",4
44051,"FORNEX-AS, ES",4
40676,"AS40676 - Psychz Networks, US",4
13182,"ASN-ADHOC-NETWORK Rimini, Italy, IT",4
30633,"LEASEWEB-USA-WDC - Leaseweb USA, Inc., US",4
44925,"THE-1984-AS, IS",4
4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",4
25394,"MK-NETZDIENSTE-AS, DE",4
9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",4
11878,"TZULO - tzulo, inc., US",4
60592,"GRANSY Gransy s.r.o. gransy.com, CZ",4
59210,"PHOENIXNAP-AS-SG1 PhoenixNAP, SG",4
48715,"SEFROYEKPARDAZENG-AS Sefroyek Pardaz Engineering Company, IR",4
3786,"LGDACOM LG DACOM Corporation, KR",4
36454,"WHG-DAL, GB",4
4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",4
57724,"DDOS-GUARD, RU",4
38623,"VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE., KH",3
47846,"SEDO-AS, DE",3
18447,"AFFINITY-INTER - Ntirety, Inc., US",3
23576,"NHN-AS-KR NAVER Cloud Corp., KR",3
15817,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE",3
327979,"DIAMATRIX, ZA",3
216139,"IRONHOST, GB",3
31229,"PL-BEYOND-AS, PL",3
49126,"AS49126, TR",3
212441,"CLOUDASSETS, RU",3
29909,"METROOPTIC - Metro Optic, CA",3
196645,"HOSTPRO-AS, UA",3
133159,"MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU",3
58466,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",3
4694,"IDCF IDC Frontier Inc., JP",3
133752,"LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED, HK",3
36007,"KAMATERA - Kamatera, Inc., US",3
131921,"GMOCL GMO GlobalSign Holdings K.K., JP",3
6698,"VIRTUALSYSTEMS, UA",3
21413,"ENVIA-TEL-AS D-09114 Chemnitz, DE",3
34177,"CELESTE-AS CELESTE - Internet services provider, FR",3
8636,"MAXNET Russia, RU",3
64236,"UNREAL-SERVERS - UnReal Servers, LLC, US",3
39566,"AS-SMARTHOST-, PL",3
8473,"BAHNHOF, SE",3
204957,"GREENFLOID-AS, US",3
209847,"THE, NL",3
47692,"NESSUS, AT",3
197712,"CDMON sistemes@cdmon.com, ES",3
3223,"VOXILITY, GB",3
48716,"PSKZ-ALA, KZ",3
28299,"LWSA SA, BR",3
20756,"NAMESHIELD, FR",3
48314,"IP-PROJECTS, DE",3
4755,"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN",3
22773,"ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US",3
399275,"SOLID - Solid Systems LLC, US",3
59939,"WIBO-AS, LT",3
47302,"CYON, CH",3
209874,"TECHTIDE, PT",3
21069,"ASN-METANET Routingpeering issues: noc@metanet.ch, CH",3
39392,"SUPERNETWORK _, CZ",3
40244,"TURNKEY-INTERNET - Turnkey Internet Inc., US",3
31549,"RASANA, IR",3
56851,"VPS-UA-AS, UA",3
25504,"CRONON-AS Obermuensterstr. 9, DE",3
47447,"TTM, DE",3
6830,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",3
63068,"CROCWEB - CrocWeb, CA",3
210878,"TREADSTONE-AS, RO",3
400587,"RYAMER - Ryamer, LLC, US",3
56485,"THEHOST-AS, UA",3
25151,"CYSO-AS, NL",3
6327,"SHAW - Shaw Communications, CA",3
137035,"PWCS-AS-AP Parallel Web Cloud Services, IN",3
31103,"KEYWEB-AS, DE",3
42889,"METAVIRA-AS, RU",3
48282,"VDSINA-AS, RU",3
7203,"LEASEWEB-USA-SFO - Leaseweb USA, Inc., US",3
14450,"GEICO01 - GEICO, US",3
719,"ELISA-AS ELISA OYJ, FI",3
212025,"CUKMAN-AS, HR",3
201682,"LIQUID-WEB-BV, US",3
8708,"DIGI-ROMANIA 75 Dr. Staicovici, RO",3
8412,"TMA Magenta Telekom, AT",3
35876,"VOLTNET-01 -03 - VoltNet inc, US",3
50304,"BLIX, NO",3
42331,"FREEHOST, UA",3
5483,"MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU",3
394380,"LEASEWEB-USA-DAL - Leaseweb USA, Inc., US",3
204213,"NETMIHAN, IR",3
12400,"PARTNER-AS, IL",3
207668,"ITH-, PL",3
34549,"MEER-AS meerfarbig GmbH & Co. KG, DE",3
51713,"WHG-LON, GB",3
4983,"INTEL-SC-AS - Intel Corporation, US",3
36943,"ZA-1-Grid, ZA",3
24638,"RAMBLER-TELECOM-AS, RU",3
28748,"ALPHACRON-AS AlphaCron Datensysteme, DE",3
50613,"THORDC-AS, IS",3
41528,"LOOPIA3, SE",3
211642,"ADMINVPS, RU",3
12392,"ASVOO VOO S.A., BE",3
8359,"MTS, RU",3
62214,"RACKFOREST-AS, HU",3
198203,"ASN-ROUTELABEL, NL",3
10297,"ENET-2 - eNET Inc., US",3
12695,"DINET-AS, RU",3
208258,"ACCESS2IT Access2.IT Network, NL",2
20001,"TWC-20001-PACWEST - Charter Communications Inc, US",2
205275,"ROMARG, RO",2
136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",2
56654,"AS56654, RO",2
5410,"BOUYGTEL-ISP, FR",2
56067,"METRABYTE-TH 453 Ladplacout Jorakhaebua, TH",2
12616,"HOSTING-MSK, RU",2
58087,"FLORIANKOLB, DE",2
3188,"ALASTYR, TR",2
207728,"EUROHOSTER Hosting Provider EuroHoster Ltd., BG",2
59729,"ITL-BG, US",2
12322,"PROXAD, FR",2
30870,"TRANS-IX-AS Trans-iX Autonomous System, NL",2
5539,"SPACENET SpaceNET AG, DE",2
8220,"COLT COLT Technology Services Group Limited, GB",2
19437,"SS-ASH - SECURED SERVERS LLC, US",2
211183,"ADMINVPS, RU",2
53057,"RedeHost Internet Ltda., BR",2
63760,"AZDIGI-AS-VN AZDIGI Corporation, VN",2
42612,"DINAHOSTING-AS, ES",2
5606,"GTS-BACKBONE GTS Telecom, RO",2
23535,"HOSTROCKET - HostRocket.com, Inc., US",2
216180,"WHG-AUS, GB",2
30083,"AS-30083-US-VELIA-NET - velia.net, DE",2
328037,"Elitehost, ZA",2
399195,"PEG-KR - PEG TECH INC, US",2
200313,"INTERNET-IT, VG",2
18501,"JOESD-18501 - CyberCloud Professionals LLC, US",2
10834,"Telefonica de Argentina, AR",2
269800,"NTERCONEXION HN S.A, HN",2
197720,"TURKTICARET-AS1, TR",2
63018,"DEDICATED - Dedicated.com, US",2
39588,"MIMECAST-DE, GB",2
49635,"CLOUDING, ES",2
150846,"AXYS-VN Room 1508, 15th Floor, Vincom Center Building, 72 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam, VN",2
32748,"STEADFAST - Steadfast, US",2
212216,"NETAFRAZ, IR",2
14956,"ROUTERHOSTING - RouterHosting LLC, US",2
205876,"HOASTED, NL",2
148993,"DIANAHOSTLTD-AS-AP Diana Host Ltd, BD",2
16371,"ACENS_AS Spain Hosting, housing and VPN services, ES",2
60976,"POL, IR",2
50472,"CHAOS-AS, DE",2
197019,"WEDOS, CZ",2
214640,"HOSTUP HOSTUP, SE",2
577,"BACOM - Bell Canada, CA",2
31042,"SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS",2
31477,"DUOCAST-AS, NL",2
44136,"ASODERLAND, SE",2
46652,"SERVERSTACK-ASN - DigitalOcean, LLC, US",2
29014,"SCALEUP, DE",2
210772,"NEWPUSH, HU",2
328364,"Host-Africa-AS, ZA",2
20021,"LNH-INC - Ntirety, Inc., US",2
203053,"CLAUSWEB, RO",2
8866,"VIVACOM-AS BULGARIA, BG",2
37611,"AFRIHOST-SP, ZA",2
58593,"BLUECLOUD Shanghai Blue Cloud Technology Co.,Ltd, CN",2
48596,"INWX, DE",2
136557,"HOST-AS-AP Host Universal Pty Ltd, AU",2
20853,"ETOP-AS, PL",2
133296,"WEBWERKS-AS-IN Web Werks India Pvt. Ltd., IN",2
38224,"REDIFF-AS Rediff.com India Limited, IN",2
214172,"PURESERVERS, HK",2
55470,"CYFUTURE-AS-IN Cyfuture India Pvt. Ltd., IN",2
16086,"DNA, FI",2
35985,"ONERINGNET-ATL-1 - One Ring Networks, Inc., US",2
395839,"HOSTKEY-USA - HOSTKEY, US",2
17054,"EXPEDIENT - Expedient, US",2
5617,"TPNET, PL",2
12389,"ROSTELECOM-AS PJSC Rostelecom. Technical Team, RU",2
55990,"HWCSNET Huawei Cloud Service data center, CN",2
25657,"BASECAMP - Basecamp, LLC, US",2
36444,"NEXCESS-NET - Liquid Web, L.L.C, US",2
19377,"CLOUD-CARIB-LTD - Cloud Carib Limited, BS",2
131353,"NHANHOA-AS-VN NhanHoa Software company, VN",2
197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",2
39704,"CJ2-AS, NL",2
45146,"RAJASA-AS-ID-AP PT. Raja Sepadan Abadi, ID",2
45538,"ODSJSC-AS-VN ODS Joint Stock Company, VN",2
149089,"CLOUDFLY-VN CLOUDFLY CORPORATION, VN",2
8758,"IWAY, CH",2
21409,"IKOULA, FR",2
34922,"NETNAMES, GB",2
4811,"CHINANET-SHANGHAI-MAN China Telecom Group, CN",2
47995,"AT-AS, RU",2
53850,"GORILLASERVERS - GorillaServers, Inc., US",2
132420,"E2E-NETWORKS-IN 282, Sector 19, IN",2
53755,"IOFLOOD - Input Output Flood LLC, US",2
8001,"COLOGIX - Cologix, Inc, US",2
42960,"VH-GLOBAL VH Global Limited, HK",2
136170,"EXBCOID-AS-AP PT. EXABYTES NETWORK INDONESIA, ID",2
208425,"YONCU, CY",2
135983,"TINO-AS-VN Tino Group Joint Stock Company, VN",2
61969,"TEAMINTERNET-AS, DE",2
20676,"PLUSNET *****************, DE",2
39238,"OKBPROGRESS Moscow, Russia, RU",2
